cty,sc,yr,wht,rce,crl_mze_str,sgr,swt_stm_alc,pls_nut_ocr_spc,vol,vgt,frt,cmt_rmt_omt,pmt,omt,mlk_dai_egg
NPL,SSP2,2015,0.228,0.079,-0.195,0.479,0.479,0.016,0.286,0.462,0.346,1.868,2.259,1.868,0.325
NPL,SSP2,2050,0.209,0.07,-0.219,0.381,0.381,0.015,0.247,0.37,0.291,0.975,1.403,0.975,0.275
NPL,SSP2,2100,0.185,0.059,-0.259,0.305,0.305,0.015,0.21,0.298,0.244,0.594,1.06,0.594,0.231
NPL,SSP3,2015,0.228,0.079,-0.195,0.479,0.479,0.016,0.286,0.462,0.346,1.868,2.259,1.868,0.325
NPL,SSP3,2050,0.215,0.073,-0.212,0.405,0.405,0.015,0.257,0.393,0.305,1.128,1.545,1.128,0.288
NPL,SSP3,2100,0.203,0.067,-0.228,0.358,0.358,0.015,0.236,0.348,0.277,0.846,1.285,0.846,0.263
NPL,SSP4,2015,0.228,0.079,-0.195,0.479,0.479,0.016,0.286,0.462,0.346,1.868,2.259,1.868,0.325
NPL,SSP4,2050,0.212,0.072,-0.215,0.395,0.395,0.015,0.253,0.383,0.299,1.058,1.48,1.058,0.283
NPL,SSP4,2100,0.192,0.062,-0.246,0.324,0.324,0.015,0.22,0.315,0.256,0.677,1.133,0.677,0.243
NPL,SSP5,2015,0.228,0.079,-0.195,0.479,0.479,0.016,0.286,0.462,0.346,1.868,2.259,1.868,0.325
NPL,SSP5,2050,0.202,0.067,-0.229,0.355,0.355,0.015,0.235,0.346,0.276,0.831,1.271,0.831,0.261
NPL,SSP5,2100,0.176,0.054,-0.282,0.282,0.282,0.015,0.198,0.276,0.228,0.494,0.973,0.494,0.217
NGA,SSP1,2015,0.429,0.296,-0.064,0.247,0.247,0.017,0.286,0.873,0.362,1.985,2.945,1.985,1.875
NGA,SSP1,2050,0.38,0.252,-0.065,0.225,0.225,0.017,0.258,0.66,0.319,1.126,1.972,1.126,1.127
NGA,SSP1,2100,0.31,0.193,-0.064,0.194,0.194,0.017,0.218,0.469,0.263,0.635,1.369,0.635,0.699
NGA,SSP2,2015,0.429,0.296,-0.064,0.247,0.247,0.017,0.286,0.873,0.362,1.985,2.945,1.985,1.875
NGA,SSP2,2050,0.391,0.262,-0.065,0.23,0.23,0.017,0.264,0.7,0.328,1.252,2.121,1.252,1.239
NGA,SSP2,2100,0.325,0.205,-0.064,0.201,0.201,0.017,0.227,0.502,0.274,0.713,1.467,0.713,0.764
NGA,SSP3,2015,0.429,0.296,-0.064,0.247,0.247,0.017,0.286,0.873,0.362,1.985,2.945,1.985,1.875
NGA,SSP3,2050,0.404,0.274,-0.064,0.236,0.236,0.017,0.272,0.754,0.34,1.441,2.339,1.441,1.406
NGA,SSP3,2100,0.375,0.248,-0.065,0.223,0.223,0.017,0.255,0.645,0.315,1.082,1.919,1.082,1.087
NGA,SSP4,2015,0.429,0.296,-0.064,0.247,0.247,0.017,0.286,0.873,0.362,1.985,2.945,1.985,1.875
NGA,SSP4,2050,0.401,0.271,-0.065,0.235,0.235,0.017,0.27,0.739,0.337,1.384,2.274,1.384,1.356
NGA,SSP4,2100,0.349,0.225,-0.065,0.211,0.211,0.017,0.24,0.563,0.293,0.862,1.652,0.862,0.893
NGA,SSP5,2015,0.429,0.296,-0.064,0.247,0.247,0.017,0.286,0.873,0.362,1.985,2.945,1.985,1.875
NGA,SSP5,2050,0.372,0.245,-0.065,0.222,0.222,0.017,0.253,0.633,0.312,1.049,1.879,1.049,1.058
NGA,SSP5,2100,0.293,0.179,-0.063,0.186,0.186,0.017,0.209,0.434,0.25,0.552,1.265,0.552,0.631
RUS,SSP1,2015,0.127,-0.506,-0.243,0.222,0.08,0.092,0.167,0.502,0.367,0.192,0.698,0.192,0.129
RUS,SSP1,2050,0.122,-0.627,-0.254,0.19,0.079,0.09,0.16,0.441,0.334,0.146,0.662,0.146,0.124
RUS,SSP1,2100,0.114,-1.132,-0.273,0.165,0.076,0.086,0.15,0.377,0.296,0.081,0.61,0.081,0.118
RUS,SSP2,2015,0.127,-0.506,-0.243,0.222,0.08,0.092,0.167,0.502,0.367,0.192,0.698,0.192,0.129
RUS,SSP2,2050,0.122,-0.613,-0.253,0.194,0.079,0.09,0.16,0.446,0.336,0.15,0.665,0.15,0.124
RUS,SSP2,2100,0.115,-1.002,-0.271,0.168,0.076,0.087,0.151,0.384,0.3,0.089,0.616,0.089,0.119
RUS,SSP3,2015,0.127,-0.506,-0.243,0.222,0.08,0.092,0.167,0.502,0.367,0.192,0.698,0.192,0.129
RUS,SSP3,2050,0.123,-0.592,-0.252,0.2,0.079,0.09,0.161,0.454,0.341,0.157,0.67,0.157,0.125
