cty,sc,yr,wht,rce,crl_mze_str,sgr,swt_stm_alc,pls_nut_ocr_spc,vol,vgt,frt,cmt_rmt_omt,pmt,omt,mlk_dai_egg
EGY,SSP1,2100,0.12,-0.032,-0.209,0.12,0.12,0.026,0.294,0.169,0.139,0.177,0.631,0.177,0.266
EGY,SSP2,2015,0.147,-0.008,-0.185,0.14,0.14,0.027,0.438,0.211,0.164,0.523,0.866,0.523,0.381
EGY,SSP2,2050,0.135,-0.019,-0.196,0.13,0.13,0.027,0.36,0.191,0.152,0.346,0.736,0.346,0.32
EGY,SSP2,2100,0.123,-0.03,-0.207,0.121,0.121,0.027,0.303,0.172,0.141,0.203,0.646,0.203,0.274
EGY,SSP3,2015,0.147,-0.008,-0.185,0.14,0.14,0.027,0.438,0.211,0.164,0.523,0.866,0.523,0.381
EGY,SSP3,2050,0.139,-0.016,-0.193,0.133,0.133,0.027,0.378,0.196,0.156,0.388,0.765,0.388,0.335
EGY,SSP3,2100,0.134,-0.02,-0.197,0.129,0.129,0.027,0.352,0.188,0.151,0.329,0.724,0.329,0.314
EGY,SSP4,2015,0.147,-0.008,-0.185,0.14,0.14,0.027,0.438,0.211,0.164,0.523,0.866,0.523,0.381
EGY,SSP4,2050,0.137,-0.017,-0.194,0.132,0.132,0.027,0.371,0.194,0.154,0.373,0.754,0.373,0.329
EGY,SSP4,2100,0.127,-0.026,-0.202,0.125,0.125,0.027,0.323,0.179,0.145,0.257,0.678,0.257,0.29
EGY,SSP5,2015,0.147,-0.008,-0.185,0.14,0.14,0.027,0.438,0.211,0.164,0.523,0.866,0.523,0.381
EGY,SSP5,2050,0.131,-0.023,-0.199,0.127,0.127,0.027,0.339,0.184,0.149,0.297,0.704,0.297,0.303
EGY,SSP5,2100,0.116,-0.036,-0.213,0.117,0.117,0.026,0.279,0.163,0.136,0.129,0.604,0.129,0.254
DEU,SSP1,2015,0.139,-0.383,-0.119,0.222,0.06,0.033,0.116,0.406,0.322,0.163,1.036,0.163,0.099
DEU,SSP1,2050,0.135,-0.435,-0.119,0.19,0.059,0.033,0.113,0.375,0.302,0.134,0.947,0.134,0.097
DEU,SSP1,2100,0.13,-0.511,-0.119,0.165,0.058,0.033,0.11,0.347,0.283,0.104,0.868,0.104,0.095
DEU,SSP2,2015,0.139,-0.383,-0.119,0.222,0.06,0.033,0.116,0.406,0.322,0.163,1.036,0.163,0.099
DEU,SSP2,2050,0.135,-0.427,-0.119,0.194,0.059,0.033,0.113,0.379,0.304,0.138,0.958,0.138,0.097
DEU,SSP2,2100,0.131,-0.491,-0.119,0.168,0.059,0.033,0.111,0.353,0.287,0.11,0.884,0.11,0.095
DEU,SSP3,2015,0.139,-0.383,-0.119,0.222,0.06,0.033,0.116,0.406,0.322,0.163,1.036,0.163,0.099
DEU,SSP3,2050,0.136,-0.411,-0.119,0.2,0.06,0.033,0.114,0.387,0.31,0.146,0.982,0.146,0.098
DEU,SSP3,2100,0.137,-0.405,-0.119,0.188,0.06,0.033,0.114,0.391,0.312,0.149,0.993,0.149,0.098
DEU,SSP4,2015,0.139,-0.383,-0.119,0.222,0.06,0.033,0.116,0.406,0.322,0.163,1.036,0.163,0.099
DEU,SSP4,2050,0.135,-0.435,-0.119,0.198,0.059,0.033,0.113,0.375,0.302,0.133,0.946,0.133,0.097
DEU,SSP4,2100,0.131,-0.495,-0.119,0.179,0.059,0.033,0.11,0.351,0.287,0.109,0.881,0.109,0.095
DEU,SSP5,2015,0.139,-0.383,-0.119,0.222,0.06,0.033,0.116,0.406,0.322,0.163,1.036,0.163,0.099
DEU,SSP5,2050,0.134,-0.447,-0.119,0.186,0.059,0.033,0.112,0.369,0.298,0.128,0.931,0.128,0.096
DEU,SSP5,2100,0.126,-0.616,-0.118,0.159,0.058,0.033,0.108,0.325,0.269,0.079,0.807,0.079,0.093
IND,SSP1,2015,0.18,0.058,-0.325,0.177,0.177,0.014,0.254,0.659,0.25,3.346,3.655,3.346,0.25
IND,SSP1,2050,0.163,0.049,-0.412,0.159,0.159,0.014,0.218,0.472,0.219,1.214,1.583,1.214,0.215
IND,SSP1,2100,0.15,0.043,-0.564,0.147,0.147,0.014,0.197,0.391,0.201,0.785,1.203,0.785,0.194
IND,SSP2,2015,0.18,0.058,-0.325,0.177,0.177,0.014,0.254,0.659,0.25,3.346,3.655,3.346,0.25
IND,SSP2,2050,0.165,0.05,-0.4,0.16,0.16,0.014,0.221,0.485,0.221,1.299,1.661,1.299,0.218
IND,SSP2,2100,0.152,0.044,-0.53,0.148,0.148,0.014,0.2,0.401,0.203,0.833,1.244,0.833,0.197
IND,SSP3,2015,0.18,0.058,-0.325,0.177,0.177,0.014,0.254,0.659,0.25,3.346,3.655,3.346,0.25
IND,SSP3,2050,0.167,0.051,-0.383,0.163,0.163,0.014,0.227,0.508,0.226,1.455,1.807,1.455,0.223
IND,SSP3,2100,0.162,0.049,-0.418,0.158,0.158,0.014,0.216,0.465,0.217,1.174,1.546,1.174,0.213
IND,SSP4,2015,0.18,0.058,-0.325,0.177,0.177,0.014,0.254,0.659,0.25,3.346,3.655,3.346,0.25
IND,SSP4,2050,0.166,0.051,-0.389,0.162,0.162,0.014,0.225,0.499,0.224,1.39,1.746,1.39,0.221
IND,SSP4,2100,0.156,0.046,-0.471,0.152,0.152,0.014,0.207,0.426,0.209,0.96,1.354,0.96,0.204
IND,SSP5,2015,0.18,0.058,-0.325,0.177,0.177,0.014,0.254,0.659,0.25,3.346,3.655,3.346,0.25
IND,SSP5,2050,0.161,0.048,-0.425,0.157,0.157,0.014,0.215,0.458,0.216,1.136,1.511,1.136,0.212
IND,SSP5,2100,0.145,0.04,-0.713,0.142,0.142,0.014,0.189,0.367,0.195,0.67,1.108,0.67,0.187
IDN,SSP1,2015,0.316,0.069,-0.264,0.222,0.219,0.032,0.36,0.89,0.257,0.75,1.167,0.75,0.921
