c_list,beta,alpha_A,alpha_T,alpha_H,alpha_Y,r2,lower,upper,p,sys,alpha_tot
cmt,-0.467014595849734,8.58179263237485,7.64601071853794,8.07153525707315,8.80127225760484,0.957595532881258,-0.52435798428855,-0.409671207410918,3.09714356735546e-48,LG,NA
rmt,-0.265652748168485,6.47126497591996,6.23287473532427,6.39555580754305,6.2094038991236,0.968569664892796,-0.318181857490561,-0.213123638846409,1.57699375109058e-21,LG,NA
mlk,-0.369770960200825,4.45251963930578,3.69434325651845,4.00521163268121,4.48983552879676,0.708181872114335,-0.411555171637515,-0.327986748764135,4.05642854602429e-55,LG,NA
cmt,-0.524665652286439,8.86065871144694,7.96661799496359,8.43861326175853,8.69994226595959,0.959002487403033,-0.573190466946659,-0.476140837626218,1.52007805208843e-77,MX,NA
rmt,-0.332709012621096,7.00517362791613,6.76297889030856,6.9588483779307,5.60813520710856,0.967164134950201,-0.381297207343014,-0.284120817899178,1.81139724856447e-36,MX,NA
mlk,-0.378790255781129,4.35789944893032,3.62227226836841,3.91510266546735,3.99023642743538,0.662133585151316,-0.413882076174611,-0.343698435387647,2.40366290551338e-77,MX,NA
pmt,-0.143300601486903,NA,NA,NA,NA,0.20646980950101,-0.171788198902219,-0.114813004071587,6.50543846671458e-41,Total,2.01744346119476
omt,-0.0872913106524551,NA,NA,NA,NA,0.0455018379554329,-0.131055741422496,-0.0435268798824137,3.87279089316796e-34,Total,2.81622481346119
