c_list,alpha,beta,r2,lower,upper,p
wht rce mze crl,-1.2820815500411,0.112003023574672,0.786188721803753,0.102997178616462,0.121008868532882,1.16396287502854e-69
str pls nut ocr vgt frt,-0.988432638867708,0.0664888974707002,0.808072513839517,0.0614927485998876,0.0714850463415128,1.8579587830412e-90
sgr swt egg,-2.82603223758016,0.218123153580166,0.481078624612901,0.183194058295083,0.25305224886525,4.81275486016068e-39
vol,-1.17783701811349,0.0975168840636908,0.804586567000394,0.0900606810364855,0.104973087090896,1.16210685923457e-75
stm spc alc,-2.79284189685828,0.219931664547467,0.327748540136736,0.1713663647262,0.268496964368735,3.29625721601367e-25
cmt rmt omt pmt,-1.0417406395288,0.0589332466479024,0.758564305518687,0.0538069029117532,0.0640595903840517,3.26681947606461e-92
mlk dai,-1.07944268204118,0.0611684447753328,0.759168771339605,0.0558564518154537,0.0664804377352118,3.27796203775916e-92
