c_list,beta,alpha_A,alpha_T,alpha_H,alpha_Y,r2,lower,upper,p,sys
cmt,0.949240069541577,-13.2365606221879,-11.943128007175,-13.0877885464683,-11.4921254686477,0.761307303647281,0.739346694895809,1.15913344418734,2.45444397780292e-17,LG
rmt,0.422702727867234,-6.25318620163156,-5.99974525286854,-6.11064361764846,-6.35997202668243,0.900329381341418,0.363500898565328,0.48190455716914,1.60473013762304e-38,LG
mlk,0.771886542750104,-10.6823972119451,-9.43612676365204,-9.98927659170468,-9.62072171102576,0.793801262997953,0.653190716281678,0.89058236921853,7.71946557202956e-33,LG
cmt,1.04468669055322,-13.5120289154284,-12.2075292314584,-13.2896560966107,-11.8854828294144,0.74148541603053,0.883441821083418,1.20593156002303,3.43824847362794e-32,MX
rmt,0.518501975260228,-6.89352827329209,-6.69288934134363,-6.80634099960356,-6.56387190210917,0.877848475055122,0.462096492600688,0.574907457919768,3.61274198259745e-59,MX
mlk,0.697094696637023,-9.11206597173825,-8.04867410720467,-8.59180115458996,-8.06445489158276,0.775859243196568,0.613041841554783,0.781147551719264,2.0945863997355e-50,MX
