c_list,ro,delta_A,delta_T,delta_H,delta_Y,r2,upper,lower,p
cmt,-0.510502208207568,3.87104050373201,3.07157577020247,2.85575765807767,5.88125022366409,0.235934136967528,-0.330575076669318,-0.690429339745818,3.92124702495996e-08
rmt,-0.341141081519971,3.04802964053827,1.65621031474805,1.46138751458354,3.38236529097145,0.151063244169489,-0.151482595605844,-0.530799567434097,0.000444779840287025
mlk,-0.535447027854199,4.15331047977234,3.36296151665929,3.0253640414324,6.06253853414919,0.235118814359993,-0.356250222740804,-0.714643832967594,7.56673950492653e-09
